Name;Abk.;Region
Düsseldorfer EG Eiskunstlauf e.V.;DEGD;NRW
EGS Siegerland e.V.;EGSS;NRW
Eiskunstlauf Akademie Rheine e.V.;EKAR;NRW
Eiskunstlaufverein Aachen e.V.;EKLA;NRW
Eislauf Club Nordhorn e.V.;ECNOR;NRW
Eissport-Verein Krefeld 1978 e.V.;EVKR;NRW
Eissportclub Herford e.V.;ESCHE;NRW
EisSportVerein Niederrhein e.V.;ESVN;NRW
ERC Bergkamen 1984 e.V.;ERCBE;NRW
ERC Westf. Kunstlauf Dortmund e.V.;ERCW;NRW
ESG Iserlohn e.V.;ESGI;NRW
Essener Jugend Eiskunstl.-Verein e.V;EJEKL;NRW
Figure Skating Club Dinslaken e.V.;FSCD;NRW
Grafschafter SC Moers e.V.;GSCM;NRW
Grefrather Schlitttschuh-Klub e.V.;GREF;NRW
Kölner Eis-Klub e.V.;KEK;NRW
Königsborner SV Unna 1880/1911 e.V.;KSVU;NRW
Neusser Schlittschuh-Klub e.V.;NSK;NRW
SC Möhnesee e.V.;SCMÖ;NRW
Schlittschuh-Club Krefeld 1978 e.V.;SCKR;NRW
Solinger Turnerbund 1880 e.V.;STB;NRW
TG Herford von 1860 e.V.;TGH;NRW
TSC Eintracht 1848/95 Dortmund e.V.;TSCE;NRW
TuS Wiehl Eissport-Club e.V.;TUSW;NRW
TV 1875 Paderborn e.V.;TVPAD;NRW
Bitburger Eissportverein e.V.;BESV;R-P
Eis- und Rollsportclub Diez e.V.;ERCD;R-P
Fun on Ice e.V. Neuwied;FUN;R-P
Ice Academy Mainz e.V.;ICEAM;R-P
Mainzer Eissport-Club e.V.;MEC;R-P
Neuwieder Eissport-Club e.V.;NEC;R-P
Skate 'n Fun Saar-Pfalz e.V.;SKATE;R-P
Turngemeinde 1846 Worms e.V.;TGW;R-P
TUS 1882 Asbach;TUSA1;R-P
1. EC Dillingen e.V.;ECDIL;SAA
Eis- und Sportverein Halle e.V.;ESVH;SAH
Eiskunstlaufverein Halle e.V.;EKLVH;SAH
Hallescher Eissport Club e.V.;HEC;SAH
Chemnitzer Eislauf-Club e.V.;CEC;SAS
Dresdner Eislauf-Club e.V.;DREC;SAS
Leipziger Eissport-Club e.V.;LEC;SAS
SV Felsenkeller Dresden e.V.;SVFD;SAS
USG Chemnitz e.V.;USGC;SAS
EC Ilmenau e.V.;ECIL;THR
Eiskunstlaufgemeinschaft Ilm-Kreis e.V.;EKLILM;THR
Eissportclub Erfurt e.V.;ESCE;THR
SV TU Ilmenau e.V. - Eiskunstlauf;SVTU;THR
